surveyid,fieldactivityid,source,sampletype,station,sampledate,layer,samplenumber,gmethod,tsn,latinname,size,method,parameter,reportingvalue,reportingunit,nodccode,speccode,serialnumber
433465,433465,odu/pel,c,cb6.1,2013-07-15T00:00:00Z,ap,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,151045300,l,auto_pico,1148,20131231cb6.1
433465,433465,odu/pel,c,cb6.1,2013-07-15T00:00:00Z,bp,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,98029400,l,auto_pico,1148,20131231cb6.1
433463,433463,odu/pel,c,cb7.3e,2013-07-15T00:00:00Z,ap,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,59017700,l,auto_pico,1148,20131231cb7.3e
433463,433463,odu/pel,c,cb7.3e,2013-07-15T00:00:00Z,bp,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,71021300,l,auto_pico,1148,20131231cb7.3e
433459,433459,odu/pel,c,cb7.4,2013-07-15T00:00:00Z,ap,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,100030000,l,auto_pico,1148,20131231cb7.4
433459,433459,odu/pel,c,cb7.4,2013-07-15T00:00:00Z,bp,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,77023100,l,auto_pico,1148,20131231cb7.4
433467,433467,odu/pel,c,le3.6,2013-07-15T00:00:00Z,ap,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,101030300,l,auto_pico,1148,20131231le3.6
433467,433467,odu/pel,c,le3.6,2013-07-15T00:00:00Z,bp,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,122036600,l,auto_pico,1148,20131231le3.6
433461,433461,odu/pel,c,ret5.2,2013-07-15T00:00:00Z,ap,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,121036300,l,auto_pico,1148,20131231ret5.2
433473,433473,odu/pel,c,cb6.4,2013-07-16T00:00:00Z,ap,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,165049500,l,auto_pico,1148,20131231cb6.4
433473,433473,odu/pel,c,cb6.4,2013-07-16T00:00:00Z,bp,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,146043800,l,auto_pico,1148,20131231cb6.4
433469,433469,odu/pel,c,ret4.3,2013-07-16T00:00:00Z,ap,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,148044400,l,auto_pico,1148,20131231ret4.3
433471,433471,odu/pel,c,tf4.2,2013-07-16T00:00:00Z,ap,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,30009000,l,auto_pico,1148,20131231tf4.2
433477,433477,odu/pel,c,le5.5-w,2013-07-18T00:00:00Z,ap,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,60018000,l,auto_pico,1148,20131231le5.5-w
433477,433477,odu/pel,c,le5.5-w,2013-07-18T00:00:00Z,bp,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,56016800,l,auto_pico,1148,20131231le5.5-w
433479,433479,odu/pel,c,tf5.5,2013-07-18T00:00:00Z,ap,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,127038100,l,auto_pico,1148,20131231tf5.5
433475,433475,odu/pel,c,we4.2,2013-07-18T00:00:00Z,ap,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,119035700,l,auto_pico,1148,20131231we4.2
