tsn,lbl,size,nodc_phyla,group,carbon_(picogram_c_per_cell)
10648,cryptomonas_marssonii,,14,cryptomonads,414.9176
bay0084,cryptomonas_ovalis,,14,cryptomonads,158.36
10646,cryptomonas_ovata,,14,cryptomonads,418.91
10656,cryptomonas_phaseolus,,14,cryptomonads,392
10637,cryptomonas_pseudobaltica,,14,cryptomonads,75.53
bay0350,cryptomonas_rostrata,,14,cryptomonads,5300
10650,cryptomonas_rostrella,,14,cryptomonads,98.51
10636,cryptomonas_stigmatica,,14,cryptomonads,71.34
2254,cyclococcolithus_fragilis,,6,haptophyta,361.3
2253,cyclococcolithus_leptoporus,,6,haptophyta,302.6
591126,cyclostephanos_dubius,,7,diatom,34.4
2439,cyclotella,,7,diatom,324.11
2439,cyclotella,<10_microns,7,diatom,33.25
2439,cyclotella,>30_microns,7,diatom,537.98
2439,cyclotella,10-30_microns,7,diatom,169.37
2439,cyclotella,sp#1_diam_<10_microns,7,diatom,33.25
2439,cyclotella,sp#2_diam_10-30_microns,7,diatom,169.37
2439,cyclotella,sp#3_diam_>30_microns,7,diatom,537.98
2457,cyclotella_atomus,,7,diatom,54.49
2460,cyclotella_bodanica,,7,diatom,679.39
2440,cyclotella_caspia,,7,diatom,61.81
2470,cyclotella_glomerata,,7,diatom,28.11
2445,cyclotella_meneghiniana,,7,diatom,115
2453,cyclotella_striata,,7,diatom,348.64
2456,cyclotella_stylorum,,7,diatom,985.51
bay0351,cylindrospermum_doryphorum,,3,cyanobacteria,13.75221
5318,cylindrotheca_closterium,,7,diatom,105.02
3256,cymatopleura,,7,diatom,1116.19
3193,cymatosira_belgica,,7,diatom,60.98
202435,cymatosira_lorenziana,,7,diatom,136.19
4795,cymbella,,7,diatom,76.43
4803,cymbella_affinis,,7,diatom,104.14
4871,cymbella_tumida,,7,diatom,880.3
4872,cymbella_turgidula,,7,diatom,88.1
10567,cystodinium,,12,dinoflagellates,2902.5
2398,dactyliosolen_antarcticus,,7,diatom,1018.8
615882,dactyliosolen_fragilissimus,,7,diatom,124.53
2399,dactyliosolen_mediterraneus,,7,diatom,484.4
6446,dactylococcopsis,,8,chlorophyta,30.63
5890,dactylococcopsis_fascicularis,,8,chlorophyta,3.7
6451,dactylococcopsis_rhaphidioides,,8,chlorophyta,30.63
bay0087,delphineis_surirella,,7,diatom,115
5319,denticula,,7,diatom,155.55
7256,desmidiaceae,unidentified,8,chlorophyta,8099.75
8844,desmidium,,8,chlorophyta,497.5
8849,desmidium_baileyi,,8,chlorophyta,392.2
8863,desmidium_grevillii,,8,chlorophyta,682.2
2535,detonula_confervacea,,7,diatom,127.49
573633,detonula_pumila,,7,diatom,905.12
3214,diatoma,,7,diatom,190.11
3226,diatoma_anceps,,7,diatom,94.79
3229,diatoma_elongatum,,7,diatom,230.62
3215,diatoma_hiemale,,7,diatom,413.85
3219,diatoma_vulgare,,7,diatom,121.27
1805,dictyocha_fibula,,4,chrysophyta,749.08
bay0317,dictyocha_siderea,,4,chrysophyta,329.8
6297,dictyosphaerium,,8,chlorophyta,12.96
6300,dictyosphaerium_planctonicum,,8,chlorophyta,46
6298,dictyosphaerium_pulchellum,,8,chlorophyta,25.62
55858,didymocystis,,39,flatworm,5.54
3182,dimerogramma,,7,diatom,68.71
3187,dimerogramma_minor,,7,diatom,133.78
6303,dimorphococcus,,8,chlorophyta,14.35
6304,dimorphococcus_lunatus,,8,chlorophyta,48.66
1515,dinobryon,,4,chrysophyta,109.53
1522,dinobryon_bavaricum,,4,chrysophyta,280.53
1529,dinobryon_calciformis,,4,chrysophyta,16.6
1530,dinobryon_cylindricum,,4,chrysophyta,518.32
1534,dinobryon_divergens,,4,chrysophyta,37.1
1517,dinobryon_sertularia,,4,chrysophyta,318.39
1525,dinobryon_sociale,,4,chrysophyta,37.1
9928,dinophysis,,12,dinoflagellates,3274.97
9938,dinophysis_acuminata,,12,dinoflagellates,688.88
9930,dinophysis_acuta,,12,dinoflagellates,7718.36
9931,dinophysis_arctica,,12,dinoflagellates,377.96
bay0088,dinophysis_baltica,,12,dinoflagellates,377.96
9939,dinophysis_caudata,,12,dinoflagellates,5120.45
bay0089,dinophysis_dentata,,12,dinoflagellates,761.7
9971,dinophysis_diegensis,,12,dinoflagellates,5489.4
