tsn,lbl,size,nodc_phyla,group,carbon_(picogram_c_per_cell)
9697,trachelomonas_volvocina,,11,euglenophycota,473.9442
9699,trachelomonas_volvocina_punctata,,11,euglenophycota,78.46
5921,treubaria_setigerum,,8,chlorophyta,43.9
2053,tribonema,,5,xanthophyta,79.38
2060,tribonema_affine,,5,xanthophyta,116.6
2059,tribonema_minus,,5,xanthophyta,71.11
2062,tribonema_monochlorum,,11,euglenophycota,87.51
2062,tribonema_monochlorum,,5,xanthophyta,87.51
2739,triceratium,,7,diatom,356.47
2742,triceratium_acutum,,7,diatom,1901.8
2740,triceratium_favus,,7,diatom,421.58
bay0276,triceratium_formosum_pentagonal,,7,diatom,15716.8
2743,triceratium_reticulum,,7,diatom,5829
bay0279,trinacria_regina,,4,chrysophyta,85344
4657,tropidoneis,,7,diatom,642.39
4658,tropidoneis_lepidoptera,,7,diatom,690.75
bay0283,tropidoneis_seriata,,7,diatom,3659
6417,ulothrix,,8,chlorophyta,327.67
6429,ulothrix_subtilissima,,8,chlorophyta,37.17
2270,umbellosphaera_hulburtiana,,11,euglenophycota,435
2269,umbellosphaera_irregularis,,6,haptophyta,224.9
2268,umbellosphaera_tenuis,,6,haptophyta,155.1
1483,uroglena,,4,chrysophyta,62.43
5585,volvox_aureus,,8,chlorophyta,25.3
5584,volvox_tertius,,8,chlorophyta,25.3
5969,westella,,8,chlorophyta,3.15
8313,xanthidium,,8,chlorophyta,5242
8342,xanthidium_subhastiferum_towerii,,8,chlorophyta,1466.8
180935,zygabikodinium_lenticulatum,,12,dinoflagellates,3684.2
7100,zygnema,,8,chlorophyta,7149.6
